OBJECTID,ZCTA5CE10,GEOID10,CohortCnt,GradCnt,GradRate,Shape__Area,Shape__Length
1,49878,2649878,20,13,0.65,14046974540.123,921741.284966133
2,49855,2649855,269,219,0.814126394052045,6747444281.85742,1162097.56327609
3,49408,2649408,,,,2995689588.96094,351703.870475865
4,49010,2649010,226,146,0.646017699115044,4615699283.44214,531102.818013098
5,49055,2649055,,,,1698919429.1792,234432.08736451
6,48604,2648604,109,106,0.972477064220184,730016629.371094,168369.138382106
7,49106,2649106,83,82,0.987951807228916,483178021.846313,120241.516819659
8,49128,2649128,40,28,0.7,1204341376.672,207524.498844259
9,49028,2649028,77,66,0.857142857142857,3349678224.27124,367383.39095492
10,49040,2649040,41,37,0.902439024390244,1184706294.65405,261609.100929652
11,49224,2649224,35,19,0.542857142857143,2816964712.80835,403934.5444048
12,49795,2649795,,,,3669700291.69531,426299.30823043
13,49788,2649788,17,0,0,217770422.273438,84280.5284332418
14,49780,2649780,49,41,0.836734693877551,8461829023.76367,765093.797795674
15,48879,2648879,279,253,0.906810035842294,5292135185.65039,478579.979189274
16,48866,2648866,129,114,0.883720930232558,1363112196.67383,217380.762546071
17,48837,2648837,433,384,0.886836027713626,2236340871.82178,289062.49748577
18,49801,2649801,105,71,0.676190476190476,4356408361.03906,754896.745716157
19,48917,2648917,574,380,0.662020905923345,692424525.053223,161185.830331308
20,48415,2648415,155,138,0.890322580645161,1825109410.89111,280336.416792238
21,48847,2648847,105,99,0.942857142857143,3421828420.10254,336806.45279681
22,48615,2648615,,,,1610856576.44971,313541.524167309
23,49246,2649246,70,62,0.885714285714286,991251418.79541,211426.264165498
24,48864,2648864,821,583,0.710109622411693,605961761.278809,127942.317913181
25,48858,2648858,342,276,0.807017543859649,4849865348.33203,563897.950456986
26,49202,2649202,74,54,0.72972972972973,389819920.672119,157479.006460473
27,49008,2649008,85,30,0.352941176470588,188155428.67334,72860.5715516888
28,49002,2649002,673,579,0.860326894502229,569830159.47168,138099.473619652
29,49053,2649053,63,59,0.936507936507937,714691872.706299,201281.181930924
30,49071,2649071,277,267,0.963898916967509,812297744.373535,226870.620732055
31,49646,2649646,125,97,0.776,6346519892.36133,656685.675780845
32,49544,2649544,239,204,0.853556485355649,584530018.76709,185886.617243511
33,49525,2649525,681,544,0.798825256975037,683970002.724609,125331.831644207
34,49330,2649330,98,92,0.938775510204082,1247671799.94189,226767.399546573
35,48371,2648371,456,425,0.932017543859649,1235618093.33496,207362.924188193
36,48014,2648014,72,58,0.805555555555556,1025657707.47754,153001.046384664
37,49228,2649228,91,89,0.978021978021978,2223019627.1955,311374.916008961
38,49221,2649221,300,268,0.893333333333333,3320113481.22229,435492.92471181
39,49236,2649236,81,70,0.864197530864197,1053678069.51465,247056.705299053
40,48380,2648380,309,280,0.906148867313916,752500750.591309,187144.651044014
41,48081,2648081,358,345,0.963687150837989,146789897.484375,51296.7064128202
42,48317,2648317,412,391,0.949029126213592,351817680.237305,87300.4468129207
43,48088,2648088,262,226,0.862595419847328,123667671.4375,51115.1436246169
44,48048,2648048,40,36,0.9,534531005.373535,117290.083686289
45,48236,2648236,744,706,0.948924731182796,245620953.578857,86856.4997329504
46,49454,2649454,111,88,0.792792792792793,2048838304.27832,342871.760629759
47,49449,2649449,15,15,1,1382560381.54492,254372.267262595
48,49886,2649886,28,27,0.964285714285714,434323629.509766,191691.380194787
49,49663,2649663,68,62,0.911764705882353,4767449728.59766,537862.601302803
50,48182,2648182,400,367,0.9175,1110470295.76892,207971.678978288
51,49329,2649329,23,2,0.0869565217391304,2306475497.88916,379278.568932834
52,48383,2648383,386,339,0.878238341968912,442059866.638672,121077.707954
53,48073,2648073,326,288,0.883435582822086,205613904.435059,79139.4454606835
54,48656,2648656,30,23,0.766666666666667,3845694564.73145,410487.722652742
55,48655,2648655,92,72,0.782608695652174,2680272155.24658,389197.908782008
56,48422,2648422,117,115,0.982905982905983,2684583705.43457,309382.571946177
57,48450,2648450,23,9,0.391304347826087,685432589.765137,183861.96270543
58,49064,2649064,37,35,0.945945945945946,1308191110.6228,240727.857354779
59,49043,2649043,20,17,0.85,955920431.333984,205588.286629485
60,48105,2648105,465,429,0.92258064516129,1413064650.19116,318228.893518483
61,48216,2648216,101,65,0.643564356435644,61857716.5915527,47805.7357555595
62,48221,2648221,166,116,0.698795180722892,151987750.274902,56073.8936891594
63,48215,2648215,36,34,0.944444444444444,111890119.838867,49809.3052202122
64,48227,2648227,144,133,0.923611111111111,209919144.952393,67699.6889931118
65,48128,2648128,38,36,0.947368421052632,67351262.4189453,56021.8253804226
66,48195,2648195,426,306,0.71830985915493,190348453.847412,57478.8494562434
67,48192,2648192,336,276,0.821428571428571,151745371.079102,67308.190393757
68,48187,2648187,1560,1474,0.944871794871795,504199417.114014,95169.0796552254
69,48225,2648225,373,310,0.831099195710456,73776795.5073242,42611.6637975598
70,48218,2648218,198,176,0.888888888888889,77064671.5529785,48495.8789201814
71,48647,2648647,38,30,0.789473684210526,3994624645.99512,781707.261765787
72,49707,2649707,319,277,0.86833855799373,7197871788.03418,663613.744429146
73,49729,2649729,24,22,0.916666666666667,1201433697.38184,257517.18900669
74,49730,2649730,,,,2618573056.52246,419706.322350322
75,48763,2648763,88,83,0.943181818181818,2728095726.99707,454730.567158365
76,49946,2649946,54,51,0.944444444444444,8336436039.50781,595909.62838272
77,49127,2649127,217,204,0.940092165898618,515979938.429443,140992.338860206
78,49022,2649022,269,157,0.58364312267658,1996168451.60815,343473.330760249
79,49094,2649094,79,68,0.860759493670886,1635735811.65967,254838.580157438
80,49082,2649082,81,68,0.839506172839506,2446010632.77063,356480.050204937
81,49092,2649092,24,22,0.916666666666667,1577435765.43921,257559.31354176
82,49252,2649252,23,19,0.826086956521739,1093788166.96167,192346.425269242
83,49284,2649284,52,51,0.980769230769231,1503136116.14404,293898.995047159
84,49112,2649112,196,183,0.933673469387755,1265523683.59631,214605.817640797
85,49765,2649765,54,43,0.796296296296296,7322384574.62109,606294.268809191
86,49728,2649728,,,,5758666573.87891,418290.217129954
87,49715,2649715,37,33,0.891891891891892,5984151138.46484,494922.69362331
88,48906,2648906,228,168,0.736842105263158,935730658.837402,196071.167409633
89,49802,2649802,121,114,0.942148760330578,236898140.335938,93102.5341128184
90,48911,2648911,54,0,0,450062977.293457,179099.630272835
91,48439,2648439,640,585,0.9140625,1488022210.82764,285096.041411076
92,48505,2648505,150,100,0.666666666666667,359922247.670898,126036.020924177
93,48451,2648451,375,354,0.944,1008739577.90186,243278.921920033
94,48433,2648433,343,289,0.842565597667639,1564573808.99072,213389.282930693
95,48429,2648429,94,76,0.808510638297872,1530649639.16553,271279.046841496
96,48529,2648529,94,70,0.74468085106383,138031296.115234,66789.2983971469
97,48509,2648509,76,61,0.802631578947368,248235330.911133,65592.9968736343
98,48519,2648519,152,116,0.763157894736842,215502145.928711,89720.4591040912
99,48880,2648880,82,69,0.841463414634146,2107316816.74805,262970.077760747
100,49250,2649250,115,87,0.756521739130435,2193408178.745,245267.971515161
101,49242,2649242,152,123,0.809210526315789,2599652309.75867,415466.517951543
102,49930,2649930,69,61,0.884057971014493,1502139553.09375,276615.299250378
103,48754,2648754,,,,1020038553.68555,235750.099667659
104,48842,2648842,411,355,0.86374695863747,508099441.550293,162675.941324595
105,48872,2648872,120,101,0.841666666666667,1615218624.94482,330791.290186867
106,48881,2648881,78,71,0.91025641025641,1572246032.18652,276177.222467162
107,48838,2648838,285,255,0.894736842105263,2683576169.99121,422209.043816545
