zcta19,zcta_area,count_ntm_stops,totpop13_17,stops_per_capita,stops_per_sqmile
"00601",64.6563,0,,,0
"00602",32.33064,0,,,0
"00603",31.68686,0,,,0
"00606",42.31389,0,,,0
"00610",37.52353,0,,,0
"00612",71.37299,0,,,0
"00616",11.58762,0,,,0
"00617",16.73205,0,,,0
"00622",29.6471,0,,,0
"00623",38.60451,0,,,0
"00624",44.13919,0,,,0
"00627",47.70883,0,,,0
"00631",4.279805,0,,,0
"00637",34.45883,0,,,0
"00638",66.23534,0,,,0
"00641",94.86673,0,,,0
"00646",21.98201,0,,,0
"00647",18.29866,0,,,0
"00650",30.73757,0,,,0
"00652",6.923152,0,,,0
"00653",17.25151,0,,,0
"00656",34.09657,0,,,0
"00659",42.95408,0,,,0
"00660",11.34576,0,,,0
"00662",46.42841,0,,,0
"00664",45.52174,0,,,0
"00667",71.22143,0,,,0
"00669",61.61709,0,,,0
"00670",45.708,0,,,0
"00674",47.60857,0,,,0
"00676",50.45846,0,,,0
"00677",15.72674,0,,,0
"00678",27.82668,0,,,0
"00680",71.86449,0,,,0
"00682",16.84406,0,,,0
"00683",52.19885,0,,,0
"00685",78.32719,0,,,0
"00687",38.92517,0,,,0
"00688",31.84605,0,,,0
"00690",2.819986,0,,,0
"00692",27.53204,0,,,0
"00693",40.73087,0,,,0
"00694",1.55505,0,,,0
"00698",72.61597,0,,,0
"00703",29.68497,0,,,0
"00704",5.559755,0,,,0
"00705",31.97721,0,,,0
"00707",22.53995,0,,,0
"00714",14.63568,0,,,0
"00715",7.927439,0,,,0
"00716",11.61862,0,,,0
"00717",2.131769,0,,,0
"00718",46.57514,0,,,0
"00719",28.35001,0,,,0
"00720",59.71809,0,,,0
"00723",46.66958,0,,,0
"00725",42.67709,0,,,0
"00727",21.50736,0,,,0
"00728",23.99375,0,,,0
"00729",34.10189,0,,,0
"00730",6.556802,0,,,0
"00731",48.80811,0,,,0
"00735",24.01992,0,,,0
"00736",55.12794,0,,,0
"00738",59.82896,0,,,0
"00739",32.01046,0,,,0
"00740",.4418194,0,,,0
"00741",3.441666,0,,,0
"00745",53.99049,0,,,0
"00751",58.30367,0,,,0
"00754",51.12228,0,,,0
"00757",31.99117,0,,,0
"00765",19.71399,0,,,0
"00766",41.48309,0,,,0
"00767",58.0336,0,,,0
"00769",76.52832,0,,,0
"00771",33.83167,0,,,0
"00772",19.92593,0,,,0
"00773",25.30488,0,,,0
"00775",23.46566,0,,,0
"00777",26.70748,0,,,0
"00778",30.0745,0,,,0
"00780",20.42105,0,,,0
"00782",26.76788,0,,,0
"00783",41.84732,0,,,0
"00784",61.83576,0,,,0
"00786",.257241,0,,,0
"00791",38.06597,0,,,0
"00794",35.32742,0,,,0
"00795",46.62743,0,,,0
"00801",1.110895,0,,,0
"00802",31.12233,0,,,0
"00820",31.68258,0,,,0
"00823",.3997563,0,,,0
"00824",.0220287,0,,,0
"00830",19.4513,0,,,0
"00831",.0462326,0,,,0
"00840",18.82098,0,,,0
"00841",2.792902,0,,,0
"00850",24.35879,0,,,0
"00851",7.62846,0,,,0
"00901",.9907918,0,,,0
"00906",.0031842,0,,,0
"00907",1.33825,0,,,0
"00909",.6294465,0,,,0
"00911",.4758736,0,,,0
"00912",.3331984,0,,,0
"00913",.3223312,0,,,0
"00915",1.710553,0,,,0
"00917",1.315452,0,,,0
"00918",2.169173,0,,,0
"00920",2.88421,0,,,0
"00921",2.673107,0,,,0
"00923",2.043581,0,,,0
"00924",4.693565,0,,,0
"00925",.447138,0,,,0
"00926",24.56644,0,,,0
"00927",2.629948,0,,,0
"00934",.7589657,0,,,0
"00936",.1613729,0,,,0
"00949",18.39667,0,,,0
"00950",3.163845,0,,,0
"00951",.4267128,0,,,0
"00952",1.237448,0,,,0
"00953",27.22352,0,,,0
"00956",26.55607,0,,,0
"00957",4.621374,0,,,0
"00959",6.447826,0,,,0
"00960",.9146057,0,,,0
"00961",5.24069,0,,,0
"00962",4.251077,0,,,0
"00965",.8012794,0,,,0
"00966",3.222195,0,,,0
"00968",.4577809,0,,,0
"00969",4.898293,0,,,0
"00971",15.99971,0,,,0
"00976",17.02188,0,,,0
"00979",1.757399,0,,,0
"00982",1.425268,0,,,0
"00983",3.69927,0,,,0
"00985",8.423144,0,,,0
"00987",25.00594,0,,,0
"01001",12.32182,39,17537,2.22387,3.165116
"01002",56.71828,123,30280,4.06209,2.168613
"01003",.7162871,28,11131,2.5155,39.09047
"01005",44.51944,0,5014,0,0
"01007",55.28222,24,14906,1.61009,.434136
"01008",55.77452,0,1272,0,0
"01009",.8124945,2,384,5.20833,2.461555
"01010",35.31902,0,3724,0,0
"01011",31.72726,0,1507,0,0
"01012",13.32631,0,531,0,0
"01013",6.293164,97,23026,4.21263,15.41355
"01020",12.91498,71,30148,2.35505,5.497491
"01022",4.773416,0,2604,0,0
"01026",24.13379,0,958,0,0
"01027",40.96508,32,17870,1.79071,.7811532
"01028",13.00647,11,16156,.680862,.8457327
"01029",17.90173,0,728,0,0
"01030",12.00584,21,11211,1.87316,1.749148
"01031",8.113058,0,1151,0,0
"01032",12.1063,0,551,0,0
"01033",28.072,3,6300,.47619,.1068681
"01034",73.60326,0,2313,0,0
"01035",24.60349,43,5301,8.11168,1.747719
"01036",19.51437,0,5193,0,0
"01037",15.6356,0,772,0,0
"01038",10.85772,0,2897,0,0
"01039",13.44668,3,1129,2.65722,.2231034
"01040",22.83524,202,40362,5.00471,8.845976
"01050",39.32302,0,2334,0,0
"01053",5.228514,2,1658,1.20627,.3825178
"01054",22.95469,0,1997,0,0
"01056",28.33558,11,21331,.515681,.3882045
"01057",45.51435,0,8801,0,0
"01060",12.1793,55,15729,3.49673,4.515859
"01062",18.30611,28,10587,2.64475,1.529544
"01063",.038804,2,574,3.48432,51.54103
"01066",.7566193,0,9,0,0
"01068",21.21975,0,1849,0,0
"01069",28.37914,7,8919,.784841,.24666
"01070",20.82637,0,637,0,0
"01071",15.87825,0,1206,0,0
"01072",20.59816,0,1490,0,0
"01073",28.95707,0,6090,0,0
"01074",.1052681,0,477,0,0
"01075",18.40159,27,17755,1.5207,1.467264
"01077",31.64925,0,9711,0,0
"01079",1.169911,2,480,4.16667,1.709532
"01080",1.825847,1,2532,.394945,.5476911
"01081",14.7336,0,1827,0,0
"01082",52.3789,13,10637,1.22215,.2481916
"01083",15.81318,0,3182,0,0
"01084",9.2747,0,183,0,0
"01085",60.84888,48,41652,1.15241,.7888395
"01086",.0371245,1,683,1.46413,26.93639
"01088",5.210202,0,399,0,0
"01089",17.53016,114,28671,3.97614,6.503077
"01092",6.739923,0,1133,0,0
"01093",5.049076,0,348,0,0
"01094",1.208546,0,327,0,0
"01095",22.7872,32,14659,2.18296,1.404297
"01096",31.8709,1,2607,.383583,.0313766
"01097",1.954209,0,54,0,0
"01098",31.51196,0,1186,0,0
"01103",.5393511,58,2409,24.0764,107.5366
"01104",5.298296,115,23635,4.86567,21.70509
"01105",1.361395,57,11601,4.91337,41.86882
"01106",9.79166,32,16048,1.99402,3.268087
"01107",1.541562,83,11304,7.34253,53.84148
"01108",3.882054,161,28925,5.56612,41.47289
"01109",5.63047,184,30125,6.10788,32.67933
"01118",3.6962,43,14774,2.91052,11.63357
"01119",3.643275,44,13236,3.32427,12.07705
"01128",1.115321,2,2798,.714796,1.793206
"01129",3.518609,28,6750,4.14815,7.95769
"01151",2.553852,43,8884,4.84016,16.83731
"01199",.0109178,2,0,,183.1869
"01201",55.54282,48,44775,1.07203,.8641981
"01220",24.66442,2,8211,.243576,.0810885
"01222",3.43601,1,818,1.22249,.2910352
"01223",71.81635,0,2351,0,0
"01224",.3099447,0,209,0,0
"01225",25.81495,4,3169,1.26223,.154949
"01226",26.50593,5,6839,.731101,.188637
"01229",.7332292,0,86,0,0
"01230",93.26539,8,8359,.957052,.0857767
"01235",46.72963,1,2671,.374392,.0213997
"01236",4.864946,2,1197,1.67084,.4111042
"01237",62.26977,4,2662,1.50263,.0642366
"01238",35.87935,5,5917,.845023,.1393559
"01240",21.82342,6,4493,1.33541,.274934
"01242",.5076174,2,475,4.21053,3.939975
"01243",18.65549,0,333,0,0
"01244",2.477263,0,108,0,0
"01245",28.77599,0,803,0,0
"01247",53.10231,16,15703,1.01891,.3013052
"01253",18.69394,0,742,0,0
